Scaff,Pos,RelativePOS,Fst,zFst
scaffold_21_2243800,2243800,2243800,0.95,2.139216522
scaffold_21_2366646,2366646,2366646,0.1955,-0.276414096
scaffold_21_2366725,2366725,2366725,0.0975,-0.590173938
scaffold_21_2471356,2471356,2471356,0.001,-0.899131333
scaffold_21_2485562,2485562,2485562,NA,NA
scaffold_21_2485563,2485563,2485563,NA,NA
scaffold_21_2486131,2486131,2486131,0.2358,-0.147388366
scaffold_21_2514945,2514945,2514945,0.4161,0.429865711
scaffold_21_2522956,2522956,2522956,0.1343,-0.472353916
scaffold_21_2552192,2552192,2552192,0.2128,-0.221025879
scaffold_21_2552288,2552288,2552288,0.2986,0.053674064
scaffold_21_2617667,2617667,2617667,0.1421,-0.447381194
scaffold_21_2715696,2715696,2715696,0.1176,-0.525821154
scaffold_21_2717057,2717057,2717057,0.0813,-0.642040361
scaffold_21_2717072,2717072,2717072,0.2737,-0.026046549
scaffold_21_2717202,2717202,2717202,0.1176,-0.525821154
scaffold_21_2717215,2717215,2717215,0,-0.902332965
scaffold_21_2765333,2765333,2765333,-0.008,-0.927946013
scaffold_21_2765340,2765340,2765340,-4.00E-04,-0.903613617
scaffold_21_2765502,2765502,2765502,0.4956,0.684395378
scaffold_21_2765505,2765505,2765505,1,2.299298074
scaffold_21_2859885,2859885,2859885,NA,NA
scaffold_21_2910683,2910683,2910683,1,2.299298074
scaffold_21_2910766,2910766,2910766,NA,NA
scaffold_21_3040594,3040594,3040594,0.131,-0.482919298
scaffold_21_3094096,3094096,3094096,0.6248,1.098046109
scaffold_21_3109889,3109889,3109889,1,2.299298074
scaffold_21_3109907,3109907,3109907,NA,NA
scaffold_21_3153573,3153573,3153573,NA,NA
scaffold_21_3203459,3203459,3203459,NA,NA
scaffold_21_3203492,3203492,3203492,0.1662,-0.370221886
scaffold_21_3326971,3326971,3326971,0.1421,-0.447381194
scaffold_21_3327105,3327105,3327105,0.5,0.698482555
scaffold_21_3447995,3447995,3447995,0,-0.902332965
scaffold_21_3453237,3453237,3453237,NA,NA
scaffold_21_3565207,3565207,3565207,0.0133,-0.859751272
scaffold_21_3626900,3626900,3626900,0.2816,-0.000753664
scaffold_21_3626930,3626930,3626930,NA,NA
scaffold_21_3626955,3626955,3626955,0.1624,-0.382388084
scaffold_21_3655083,3655083,3655083,NA,NA
scaffold_21_3699926,3699926,3699926,NA,NA
scaffold_21_3699966,3699966,3699966,0.114,-0.537347026
scaffold_21_3764318,3764318,3764318,0.3604,0.251534862
scaffold_21_3930654,3930654,3930654,0,-0.902332965
scaffold_21_3980924,3980924,3980924,0.1515,-0.417285862
scaffold_21_4037299,4037299,4037299,0.2258,-0.179404676
scaffold_21_4044334,4044334,4044334,0.2809,-0.002994806
scaffold_21_4058266,4058266,4058266,0.2408,-0.13138021
scaffold_21_4127317,4127317,4127317,0,-0.902332965
scaffold_21_4300273,4300273,4300273,-0.0093,-0.932108133
scaffold_21_4300278,4300278,4300278,0.1409,-0.451223151
scaffold_21_4330488,4330488,4330488,0.95,2.139216522
scaffold_21_4477144,4477144,4477144,0.1955,-0.276414096
scaffold_21_4488059,4488059,4488059,0,-0.902332965
scaffold_21_4488072,4488072,4488072,0.375,0.298278675
scaffold_21_4568509,4568509,4568509,0,-0.902332965
scaffold_21_4568542,4568542,4568542,0.1818,-0.320276442
