HybridID,PC1,scaffold_21_284354,scaffold_21_603637,scaffold_21_954362,scaffold_21_1081954,scaffold_21_1168407,scaffold_21_1556666,scaffold_21_2181463,scaffold_21_2181470,scaffold_21_2190915,scaffold_21_2195347,scaffold_21_2485562,scaffold_21_2485563,scaffold_21_2514945,scaffold_21_2552192,scaffold_21_2717202,scaffold_21_2765502,scaffold_21_2910766,scaffold_21_3094096,scaffold_21_3109889,scaffold_21_3109907,scaffold_21_3203459,scaffold_21_3453237,scaffold_21_3699926,scaffold_21_4037299,scaffold_21_4044334,scaffold_21_4058266,scaffold_21_4568542,scaffold_21_4823705,scaffold_21_4930076,scaffold_21_4972994,scaffold_21_5147006,scaffold_21_5242487,scaffold_21_5349915,scaffold_21_5517604,scaffold_21_6232964,scaffold_21_6359869,scaffold_21_6549222,scaffold_21_6549302,scaffold_21_6551024,scaffold_21_6570168,scaffold_21_6570180,scaffold_21_6645830,scaffold_21_6663265
5169,-0.047323009,AA,BB,BB,AA,AA,BB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,AB,AA,BB,AA,AB,NA,AB,AB,AB,AB,AB,AB,BB,BB
5365,-0.047105632,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,NA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5058,-0.04648044,AA,AB,AB,AA,AA,BB,AB,BB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,BB,AA,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5042,-0.046479865,AA,BB,BB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AA,AB,BB,AB,AB,BB,AB,AB,AB,AB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5548,-0.046262207,AA,BB,BB,AA,AB,BB,BB,BB,AB,AA,AB,AB,AB,BB,AA,AB,AB,AB,AA,BB,AB,AB,NA,BB,AA,AB,AB,BB,AB,AB,AA,AA,AB,BB,AB,AB,BB,AA,AB,AB,AB,AA,AB
5120,-0.045758745,AA,BB,BB,NA,AA,NA,NA,NA,AB,NA,AA,AA,BB,AA,AB,AB,NA,BB,NA,NA,NA,BB,NA,AA,AA,AB,NA,BB,NA,BB,BB,BB,AA,AA,AA,NA,NA,AA,AA,NA,NA,NA,NA
5034,-0.04492707,AA,BB,BB,AA,AB,BB,BB,BB,AB,AB,BB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5200,-0.044039054,AA,BB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5189,-0.043666144,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,NA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB
5004,-0.043321923,AB,AB,AB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5033,-0.042388589,AA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,BB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5106,-0.042211734,NA,NA,NA,NA,NA,BB,NA,NA,BB,AA,BB,BB,NA,NA,NA,AA,NA,NA,NA,NA,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,AA,NA,NA,AA,NA,BB,AA,NA,NA
5533,-0.041563418,AB,AB,AB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5610,-0.040370096,AB,AB,AB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AB,AA,AA,BB,BB,BB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5302,-0.040349458,AA,BB,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5308,-0.0391355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5459,-0.038943169,AB,AB,AA,AA,AB,BB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5175,-0.03813252,BB,AA,AA,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5534,-0.037989639,AB,AA,AB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AA,AB,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5016,-0.037350124,AA,BB,BB,AA,AB,BB,BB,BB,AB,AB,AB,AB,AB,AA,AA,BB,BB,AB,AB,AB,AA,AB,AB,AA,BB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5519,-0.036540204,AA,BB,AB,AA,AB,BB,BB,BB,AA,BB,AB,AB,AB,BB,BB,AA,AB,BB,AB,AB,AA,AA,AB,AB,AB,AA,AA,AA,AB,AB,AB,AB,AB,NA,AB,AB,AB,BB,AA,AB,AB,AB,AA
5064,-0.03612116,AA,BB,AB,AA,AA,BB,AA,AA,AB,BB,BB,BB,AA,BB,AB,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5187,-0.035964641,AA,BB,BB,AB,AB,AB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,AB,AA
5002,-0.035332463,AA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5009,-0.035249682,AA,BB,BB,AA,AB,BB,AB,AB,BB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,BB
5017,-0.034956126,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,BB,AB,AB,AB,AB,AB,AB,AB,AA,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5596,-0.034933866,AA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AA,AB,AB,AB,AB,AB,AA,BB,AB,AB,AA,AB,AB,AB,AB,AB,AB,BB,AB
5051,-0.034899533,AA,BB,BB,AA,AB,BB,AA,AA,AB,AA,AB,AB,AB,AA,BB,AB,AB,AA,AB,AB,AB,AA,BB,NA,AB,AB,BB,BB,BB,BB,AB,BB,AA,AA,AA,BB,AA,AA,AB,BB,AA,BB,AA
5128,-0.033999807,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5634,-0.033946029,AB,AB,AB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AB,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5036,-0.033261422,AA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5193,-0.033161741,AA,BB,BB,AA,AB,BB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,NA,AA,BB,BB,AB,AB,AB,AB,NA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AA,BB
5523,-0.032906123,AB,AB,AB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AA,AB,AB,AB,AB,BB,AB,BB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AB,AB,BB,AA,BB,AA
5096,-0.032502216,AA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,AB,AA,AB,AA,AB,AA,BB,AA
5087,-0.031998758,AA,BB,BB,BB,AB,AB,AA,AA,AB,NA,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AA,AA,AB,AA,AA,AB,NA,BB,BB,BB,BB,BB,AA,NA,NA,BB,AA,AA,AA,BB,AA,BB,AA
5589,-0.03144395,AA,AB,AB,AA,AA,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AB,BB,BB,BB,AA,BB,BB,BB,AB,AB,AA,BB
5594,-0.031174082,AA,BB,BB,AB,BB,AB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5367,-0.030142104,NA,BB,BB,AA,AB,BB,AB,AB,BB,BB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,BB,BB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB
5062,-0.029978013,BB,AA,AA,AA,AA,BB,AB,AB,AA,BB,AB,AB,AB,AB,AB,NA,AB,BB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AA
5199,-0.029813265,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5579,-0.029098301,AB,AB,AB,AA,AB,BB,AB,AB,AB,BB,AB,AB,AB,BB,AB,AB,AA,AB,AB,AB,AB,BB,AB,AB,AB,BB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5115,-0.028334605,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5546,-0.028306229,AA,BB,BB,AA,BB,BB,AB,AB,AB,BB,AA,AA,AA,AB,AA,AB,AB,NA,BB,AA,AB,AB,NA,NA,AA,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,NA,NA
5135,-0.028076539,AA,BB,BB,AA,AB,BB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AB,BB,AA
5206,-0.028009757,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5091,-0.027942748,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,BB,AB,AB,AA,AB,BB,BB,NA,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5210,-0.027867765,BB,AA,AB,AA,AA,BB,AA,AA,AB,BB,BB,BB,NA,BB,AA,AA,BB,BB,AA,BB,AA,AA,NA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB
5198,-0.027280582,AA,BB,BB,AA,BB,BB,AA,AA,AB,BB,AB,AB,AB,AB,BB,AB,AB,BB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,BB,AA,AA,AA,BB,NA,AA,AA,BB,AA,BB,AA
5007,-0.026789116,NA,BB,BB,AA,BB,BB,BB,BB,AA,AA,AB,AB,AB,AA,AB,BB,AA,AB,AB,AB,AB,NA,BB,AA,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,NA,AA,BB,AA
5057,-0.026586384,AA,BB,BB,AA,AB,BB,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,AB,AA,AA,AA,AB,AA,BB,AA
5031,-0.026570855,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5575,-0.026533102,BB,AB,AB,AA,AA,BB,AA,AA,AB,AA,AB,AB,AA,BB,AB,AB,AB,NA,AA,BB,AB,NA,BB,BB,AB,AB,BB,AB,AA,BB,BB,AB,BB,AB,AB,AB,AB,BB,NA,AB,AB,AA,NA
5077,-0.026273691,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AB,AA,BB,AA,BB,AA
5417,-0.025623317,AA,AB,AB,AA,AB,BB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,AB,AB,AB,BB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5529,-0.025477623,AB,BB,AB,AA,BB,BB,AB,AB,AA,AB,AB,AB,BB,AB,BB,AB,AB,AB,AB,AB,AB,AB,BB,AB,NA,AB,AB,AA,NA,AA,BB,BB,AB,AB,AB,AB,BB,AB,BB,AB,AB,AB,AB
5621,-0.025044409,AA,BB,BB,AB,BB,AB,BB,BB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,BB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5038,-0.024778374,BB,AA,AA,AA,AB,BB,AA,AA,AB,BB,AB,AB,AA,AB,AA,AA,BB,BB,AA,BB,AA,AA,AB,AB,BB,AB,AA,AA,AB,AA,AA,AA,AA,AA,BB,AA,BB,AB,AB,AA,BB,AB,BB
5037,-0.024751197,AA,BB,BB,AA,AB,AB,BB,BB,AB,BB,AB,AB,AB,BB,AA,AB,AB,NA,AB,AB,AB,AB,AB,AB,BB,AB,BB,BB,BB,BB,BB,BB,AA,AB,AA,BB,AA,AA,AA,BB,AA,BB,AA
5197,-0.024423344,AA,BB,BB,AA,AB,BB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,NA,BB,AA,AB,AA,NA,AB,AB,AB,AA,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5185,-0.02349211,AA,BB,BB,AA,AB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AB,BB,BB,BB,BB,BB,NA,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5131,-0.02339902,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5014,-0.023372596,AA,BB,BB,AA,BB,NA,NA,NA,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AA,AA
5615,-0.023287722,AA,BB,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5098,-0.023065219,NA,BB,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,AA,BB,AB,NA,NA
5102,-0.022900419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,NA,NA
